Data;Hora;Duracao;Numero;Destino;Tipo;Valor
25/05/2026;15:56:54;00:01:00;3227-8099;BAURU;DDD;0,61
25/05/2026;16:05:18;00:01:06;3227-8099;BAURU;DDD;0,68
25/05/2026;16:15:06;00:01:00;3227-8099;BAURU;DDD;0,61
25/05/2026;16:18:00;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;16:19:18;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
25/05/2026;16:30:24;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
25/05/2026;16:56:30;00:01:12;3319-9403;UBERABA;DDD;0,74
25/05/2026;17:09:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;17:21:36;00:01:30;3227-8099;BAURU;DDD;0,92
25/05/2026;17:24:48;00:01:00;3227-8099;BAURU;DDD;0,61
25/05/2026;17:25:18;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;17:37:24;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
25/05/2026;17:42:00;00:01:00;3227-8099;BAURU;DDD;0,61
25/05/2026;18:07:18;00:01:00;3319-9403;UBERABA;DDD;0,61
25/05/2026;18:10:36;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
25/05/2026;18:14:48;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
25/05/2026;18:28:48;00:01:00;3319-9403;UBERABA;DDD;0,61
25/05/2026;18:53:24;00:01:12;3319-9403;UBERABA;DDD;0,74
25/05/2026;20:18:06;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;08:01:30;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;08:11:54;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;08:29:18;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;09:31:18;00:01:42;3190-0610;ARARAQUARA;DDD;1,05
26/05/2026;09:34:42;00:01:24;3319-9403;UBERABA;DDD;0,86
26/05/2026;09:36:48;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;09:39:00;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
26/05/2026;09:53:00;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
26/05/2026;09:54:18;00:02:54;3467-2368;AMERICANA;DDD;1,79
26/05/2026;09:55:36;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;09:57:24;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;10:10:24;00:02:18;2112-9151;LAGOA STA;DDD;1,42
26/05/2026;10:14:48;00:01:00;2112-9608;LAGOA STA;DDD;0,61
26/05/2026;10:48:30;00:02:12;3331-5400;ARARAQUARA;DDD;1,36
26/05/2026;10:57:54;00:01:12;3227-8099;BAURU;DDD;0,74
26/05/2026;11:06:00;00:01:06;3227-8099;BAURU;DDD;0,68
26/05/2026;11:09:06;00:03:42;3170-4898;R DE JANEIRO;DDD;2,29
26/05/2026;11:12:12;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;11:16:18;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;11:17:36;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
26/05/2026;11:20:06;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;11:31:00;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;11:35:24;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
26/05/2026;11:35:54;00:00:30;98440-1626;AREA-061;VC3;0,44
26/05/2026;11:44:24;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;11:55:30;00:00:30;98440-1626;AREA-061;VC3;0,44
26/05/2026;12:16:12;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;12:48:36;00:01:54;3636-5737;RIBEIRAO PRETO;DDD;1,17
26/05/2026;13:00:36;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;13:02:54;00:01:00;3331-5400;ARARAQUARA;DDD;0,61
26/05/2026;13:09:00;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;13:09:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;13:13:48;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;13:16:00;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;13:24:30;00:07:30;2112-9606;LAGOA STA;DDD;4,64
26/05/2026;13:25:18;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;13:28:24;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;13:29:06;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;13:57:54;00:00:36;98493-8701;AREA-032;VC3;0,53
26/05/2026;13:59:18;00:02:24;98493-8701;AREA-032;VC3;2,13
26/05/2026;14:04:12;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
26/05/2026;14:11:00;00:01:06;3227-8099;BAURU;DDD;0,68
26/05/2026;14:20:06;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;14:21:30;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;14:29:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;14:34:06;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;14:40:54;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
26/05/2026;14:42:30;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;14:43:36;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;14:47:00;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;14:53:00;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
26/05/2026;14:54:18;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;15:00:18;00:02:24;3331-5400;ARARAQUARA;DDD;1,48
26/05/2026;15:05:48;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;15:06:12;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;15:10:12;00:00:54;94175-4723;AREA-011;VC2;0,74
26/05/2026;15:11:42;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;15:12:48;00:01:48;3331-5400;ARARAQUARA;DDD;1,11
26/05/2026;16:38:12;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;17:19:06;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;17:36:30;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;18:01:12;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;18:04:54;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;18:16:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
26/05/2026;18:34:18;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;18:38:30;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
26/05/2026;18:39:36;00:01:00;3319-9403;UBERABA;DDD;0,61
26/05/2026;19:12:30;00:01:00;3227-8099;BAURU;DDD;0,61
26/05/2026;19:24:06;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;06:47:24;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;08:16:24;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;08:46:24;00:01:00;98458-8589;AREA-011;VC2;0,82
27/05/2026;08:59:54;00:01:54;3227-8099;BAURU;DDD;1,17
27/05/2026;09:07:48;00:01:06;2102-9818;BRASILIA;DDD;0,68
27/05/2026;09:09:30;00:01:00;2102-9808;BRASILIA;DDD;0,61
27/05/2026;09:18:24;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;09:31:54;00:01:00;3030-0037;FRANCA;DDD;0,61
27/05/2026;09:47:06;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;09:49:48;00:01:18;3227-8099;BAURU;DDD;0,80
27/05/2026;10:00:30;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;10:08:54;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;10:13:12;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;10:28:54;00:05:12;2102-9808;BRASILIA;DDD;3,22
27/05/2026;10:37:18;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;10:46:42;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;10:54:00;00:01:00;3510-1711;SAO CARLOS;DDD;0,61
27/05/2026;10:55:12;00:01:12;3510-1711;SAO CARLOS;DDD;0,74
27/05/2026;11:06:42;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;11:08:18;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;11:10:06;00:01:30;3203-4091;SAO JOSE DO RIO;DDD;0,92
27/05/2026;11:10:42;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;11:13:54;00:01:06;3338-9039;GAVIAO PEIXOTO;DDD;0,68
27/05/2026;11:22:12;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;11:26:30;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;11:50:12;00:02:18;3364-8404;BRASILIA;DDD;1,42
27/05/2026;11:55:36;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;11:59:12;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;12:03:18;00:03:36;3364-8404;BRASILIA;DDD;2,23
27/05/2026;12:08:54;00:02:12;3919-5375;RIBEIRAO PRETO;DDD;1,36
27/05/2026;12:29:00;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;13:45:30;00:02:48;3319-9403;UBERABA;DDD;1,73
27/05/2026;14:25:12;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;14:29:00;00:00:30;99914-1990;AREA-041;VC3;0,44
27/05/2026;14:32:30;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;14:40:12;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;14:45:06;00:01:18;3227-8099;BAURU;DDD;0,80
27/05/2026;14:47:48;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;14:48:24;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;14:54:18;00:01:18;3227-8099;BAURU;DDD;0,80
27/05/2026;14:55:24;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;15:08:54;00:01:42;3319-9403;UBERABA;DDD;1,05
27/05/2026;15:12:48;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
27/05/2026;15:25:12;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;15:36:00;00:01:30;3338-9039;GAVIAO PEIXOTO;DDD;0,92
27/05/2026;15:39:12;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;15:40:48;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;15:43:42;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;15:45:00;00:01:18;3190-0610;ARARAQUARA;DDD;0,80
27/05/2026;15:46:48;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;15:49:18;00:01:00;3319-9403;UBERABA;DDD;0,61
27/05/2026;15:53:06;00:01:42;3510-1711;SAO CARLOS;DDD;1,05
27/05/2026;16:08:00;00:01:30;3227-8099;BAURU;DDD;0,92
27/05/2026;16:11:54;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;16:16:42;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;16:25:18;00:01:06;3319-9403;UBERABA;DDD;0,68
27/05/2026;16:28:18;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;16:31:36;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;16:40:42;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
27/05/2026;16:45:00;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;16:46:00;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;16:46:30;00:01:00;3190-0610;ARARAQUARA;DDD;0,61
27/05/2026;17:06:30;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
27/05/2026;17:18:36;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;17:21:36;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;17:42:24;00:01:00;3227-8099;BAURU;DDD;0,61
27/05/2026;20:56:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
27/05/2026;21:50:48;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;05:40:42;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;05:46:36;00:01:00;3319-9403;UBERABA;DDD;0,61
28/05/2026;06:34:30;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;07:51:54;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;07:52:18;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;07:54:06;00:01:12;3227-8099;BAURU;DDD;0,74
28/05/2026;08:19:00;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;08:25:24;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;08:31:30;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;08:31:42;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;08:33:12;00:01:18;3227-8099;BAURU;DDD;0,80
28/05/2026;08:36:18;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;08:40:30;00:01:00;3319-9403;UBERABA;DDD;0,61
28/05/2026;08:43:36;00:01:00;3203-4091;SAO JOSE DO RIO;DDD;0,61
28/05/2026;08:46:42;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;08:50:24;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;08:52:48;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;08:53:42;00:01:24;3319-9403;UBERABA;DDD;0,86
28/05/2026;08:58:42;00:01:18;3203-4091;SAO JOSE DO RIO;DDD;0,80
28/05/2026;09:04:24;00:01:00;3030-0037;FRANCA;DDD;0,61
28/05/2026;09:18:18;00:01:36;3227-8099;BAURU;DDD;0,99
28/05/2026;09:21:48;00:01:00;3338-9039;GAVIAO PEIXOTO;DDD;0,61
28/05/2026;09:35:36;00:01:00;3227-8099;BAURU;DDD;0,61
28/05/2026;09:40:00;00:01:00;3319-9403;UBERABA;DDD;0,61
